name,attendance,sessional,midterm,final,grade
Sania,90,18,25,42,A
Ali,70,12,18,28,C
Fatima,95,19,28,45,A+
Hashir,50,8,12,18,F
Hammad,80,15,22,35,B
Sara,65,11,17,29,C
Usman,88,17,24,40,A
Noor,45,7,10,16,F
Zara,92,20,29,46,A+
Bilal,75,14,21,33,B
Ayesha,85,16,23,38,A
Kamran,55,9,14,22,D
Rabia,78,15,22,34,B
Ahmed,60,11,16,27,C
Maria,96,20,29,47,A+
Imran,48,7,11,17,F
Hina,82,16,23,36,A
Tariq,68,12,18,29,C
Sadia,91,19,27,44,A+
Asad,72,14,20,32,B
Maryam,58,10,15,24,D
Omer,87,17,25,39,A
Laiba,94,19,28,46,A+
Faisal,62,11,17,28,C
Iqra,79,15,22,34,B
